timestamp,ch0,ch1,r,g,b,lux,temp,isc_a,isc_c
29-Feb-2020 06:32:22,32.5,7.5,32.5,100.5,82,11.62,18.765625,0.5,1.5
29-Feb-2020 06:37:05,55,13.5,55,168.5,134.5,19.0752,18.828125,0.5,2.5
29-Feb-2020 06:41:48,87,21,89,266,208.5,30.456,18.875,2,4
29-Feb-2020 06:46:31,130.5,32,136,399.5,307.5,45.332,18.9375,2.5,5.5
29-Feb-2020 06:51:14,185,44,195.5,567,431,65.224,18.9765625,3.5,7.5
29-Feb-2020 06:55:57,246.5,57.5,265,760.5,573.5,87.7,18.953125,4.5,10
29-Feb-2020 07:00:40,318,74,350,985.5,735.5,113.264,19.0234375,5.5,12.5
29-Feb-2020 07:05:23,403,95.5,455,1248.5,917.5,142.328,19.0390625,7.5,16
29-Feb-2020 07:10:06,484,113,556,1510.5,1103.5,172.128,19.0859375,8.5,19
29-Feb-2020 07:14:49,505.5,117.5,584,1585,1157,180.14,19.109375,9,19.5
29-Feb-2020 07:15:52,572,128.5,670,1820.5,1333.5,206.976,19.1796875,10,22
29-Feb-2020 07:20:35,647,142,768.5,2074.5,1517,236.472,19.1796875,11.5,24.5
29-Feb-2020 07:25:18,732,159.5,884.5,2364,1722.5,268.352,19.2421875,12.5,27.5
29-Feb-2020 07:30:01,828.5,180,1031,2696.5,1948,304.1,19.3046875,14,31
29-Feb-2020 07:34:44,981.5,219,1291,3212,2262,356.204,19.3125,16.5,36
29-Feb-2020 07:39:28,1113.5,245,1435.5,3589.5,2537,406.54,19.4296875,18.5,41
29-Feb-2020 07:44:10,1313.5,302,1829.5,4324.5,2936.5,470.412,19.453125,21,48
29-Feb-2020 07:48:53,1599,388.5,2360,5235.5,3407,557.976,19.5,24.5,59
29-Feb-2020 07:53:36,2275.5,629.5,3832.5,7515,4406,730.004,19.6171875,31.5,83.5
29-Feb-2020 07:58:19,2570.5,708.5,4235.5,8246,4820,826.9144,19.6328125,35.5,96
29-Feb-2020 08:03:02,2496.5,643,3658,7483,4686,842.3672,19.6796875,37,93
29-Feb-2020 08:07:45,2942.5,790,4045,8261,5078,964.892,19.7109375,41.5,109
29-Feb-2020 08:12:28,2308,561,2955,6677.5,4522,805.216,19.78125,35,86
29-Feb-2020 08:17:11,2794.5,699,3955,8332.5,5304,957.7992,19.734375,39.5,112.5
29-Feb-2020 08:21:54,2462,571.5,3269.5,7248,4940,877.904,19.828125,38,92.5
29-Feb-2020 08:26:37,4627,1243.5,6951.5,13744,7791,1512.0624,19.859375,46.5,156.5
29-Feb-2020 08:31:20,2722.5,636.5,4425,9418,6017,967.604,19.828125,42.5,105
29-Feb-2020 08:36:03,3121.5,730.5,5422,11143,6902.5,1108.908,19.8984375,48,117.5
29-Feb-2020 08:40:46,2940.5,681,5128,10638,6725.5,1049.636,19.8828125,46.5,109.5
29-Feb-2020 08:45:29,3308,769,5432.5,11180.5,7072.5,1178.784,19.8984375,51,122.5
29-Feb-2020 08:50:12,3733.5,860,5056,10387.5,6881.5,1335.98,19.875,57.5,137
29-Feb-2020 08:54:55,4730.5,1093.5,6513,12744.5,8170,1690.036,19.8671875,71.5,171.5
29-Feb-2020 08:59:38,4422.5,1012.5,6031,12056.5,7860.5,1586.9,19.8359375,67.5,161
29-Feb-2020 09:04:21,4326.5,982,5821.5,11841.5,7803,1558.452,19.8359375,66.5,157
29-Feb-2020 09:09:04,3947.5,890,5316.5,10986,7355,1426.14,19.8046875,61.5,143.5
29-Feb-2020 09:10:13,3855.5,864.5,5215,10841.5,7313.5,1396.252,19.828125,60.5,141
29-Feb-2020 09:14:56,3426,763.5,4497,9769.5,6775.5,1244.016,19.8515625,54,125.5
29-Feb-2020 09:19:39,3419.5,766.5,4465.5,9802.5,6802,1238.524,19.84375,54.5,126
